ST04Q01,CLCUSE301,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,1 ,,6.0,56.0,16.0,20.0,36.0,13.0,67.0,7.0,5.0,8.0,4.0,1.0,5.0,7.0,13.0,13.0,10.0,18.0,1.0,12.0,27.0,18.0,14.0,10.0,27.0,9.0,2.0,21.0,43.0,80.0,21.0,6.0,56.0,5.0,,3.0,16.0,8.0,14.0,1.0,24.0,25.0,20.0,15.0,8.0,2.0,1.0,9.0,6.0,34.0,13.0,8.0,16.0,16.0,13.0,34.0,71.0,23.0,32.0,3.0,19.0,10.0,24.0,34.0,7.0,9.0,1.0
Female,10,,490.0,584.0,220.0,208.0,2615.0,662.0,911.0,853.0,712.0,971.0,1270.0,132.0,567.0,266.0,233.0,401.0,236.0,573.0,239.0,119.0,129.0,231.0,233.0,299.0,267.0,446.0,429.0,491.0,1956.0,206.0,770.0,1478.0,426.0,177.0,11.0,446.0,171.0,512.0,439.0,162.0,4060.0,411.0,122.0,199.0,203.0,232.0,769.0,406.0,439.0,665.0,704.0,780.0,261.0,332.0,266.0,199.0,1053.0,185.0,366.0,1334.0,235.0,1009.0,861.0,653.0,675.0,460.0,1032.0
Female,2 ,,6.0,43.0,17.0,20.0,37.0,6.0,73.0,14.0,7.0,13.0,5.0,,6.0,18.0,10.0,23.0,12.0,17.0,3.0,13.0,23.0,18.0,20.0,10.0,12.0,1.0,6.0,20.0,66.0,103.0,24.0,5.0,31.0,4.0,,1.0,24.0,12.0,8.0,3.0,22.0,22.0,13.0,22.0,19.0,3.0,4.0,13.0,10.0,49.0,12.0,15.0,19.0,14.0,14.0,24.0,64.0,34.0,32.0,4.0,6.0,8.0,25.0,47.0,2.0,7.0,6.0
Female,3 ,,8.0,96.0,30.0,41.0,43.0,14.0,133.0,21.0,12.0,23.0,24.0,4.0,11.0,44.0,36.0,47.0,24.0,26.0,4.0,33.0,47.0,30.0,25.0,28.0,26.0,2.0,12.0,60.0,88.0,153.0,31.0,6.0,54.0,4.0,3.0,9.0,42.0,12.0,25.0,3.0,25.0,33.0,31.0,40.0,57.0,3.0,13.0,33.0,24.0,65.0,23.0,21.0,34.0,30.0,33.0,52.0,120.0,47.0,71.0,2.0,27.0,6.0,49.0,75.0,7.0,11.0,10.0
Female,4 ,,23.0,156.0,75.0,77.0,78.0,33.0,251.0,41.0,13.0,37.0,45.0,6.0,29.0,61.0,53.0,80.0,46.0,50.0,10.0,81.0,66.0,51.0,43.0,46.0,43.0,5.0,22.0,73.0,119.0,204.0,52.0,15.0,69.0,29.0,,12.0,65.0,24.0,34.0,7.0,49.0,42.0,48.0,53.0,76.0,12.0,23.0,41.0,60.0,116.0,29.0,32.0,68.0,52.0,56.0,72.0,237.0,92.0,126.0,11.0,37.0,12.0,74.0,125.0,18.0,25.0,10.0
Female,5 ,,75.0,324.0,135.0,229.0,290.0,88.0,524.0,159.0,80.0,144.0,106.0,32.0,82.0,200.0,192.0,211.0,163.0,93.0,22.0,249.0,191.0,178.0,141.0,110.0,77.0,55.0,75.0,165.0,372.0,468.0,175.0,71.0,202.0,76.0,7.0,35.0,179.0,115.0,189.0,17.0,199.0,159.0,111.0,126.0,125.0,38.0,126.0,135.0,161.0,311.0,94.0,104.0,178.0,125.0,197.0,241.0,838.0,176.0,344.0,58.0,138.0,62.0,249.0,318.0,40.0,92.0,45.0
Female,6 ,,149.0,536.0,218.0,480.0,443.0,131.0,3048.0,207.0,145.0,177.0,170.0,45.0,97.0,215.0,281.0,284.0,229.0,207.0,37.0,368.0,269.0,232.0,217.0,193.0,117.0,75.0,159.0,187.0,1011.0,414.0,192.0,68.0,200.0,161.0,16.0,84.0,280.0,178.0,209.0,33.0,247.0,180.0,273.0,195.0,229.0,43.0,163.0,207.0,225.0,384.0,120.0,134.0,175.0,258.0,249.0,280.0,1476.0,250.0,552.0,87.0,161.0,62.0,357.0,522.0,81.0,231.0,72.0
Female,7 ,,421.0,1131.0,398.0,1052.0,876.0,254.0,3076.0,471.0,281.0,344.0,401.0,128.0,236.0,434.0,470.0,654.0,432.0,614.0,112.0,564.0,475.0,455.0,434.0,382.0,279.0,176.0,408.0,380.0,2638.0,512.0,351.0,144.0,387.0,385.0,32.0,301.0,549.0,422.0,306.0,124.0,952.0,296.0,528.0,386.0,430.0,111.0,315.0,339.0,401.0,554.0,289.0,279.0,350.0,547.0,381.0,476.0,2718.0,449.0,1193.0,205.0,236.0,121.0,716.0,1077.0,268.0,417.0,238.0
Female,8 ,,744.0,1617.0,614.0,1248.0,1814.0,449.0,2284.0,711.0,682.0,680.0,928.0,221.0,546.0,632.0,720.0,967.0,625.0,1268.0,259.0,533.0,686.0,657.0,557.0,704.0,450.0,332.0,698.0,655.0,4392.0,475.0,589.0,292.0,476.0,667.0,41.0,581.0,646.0,710.0,461.0,257.0,3722.0,454.0,549.0,542.0,570.0,164.0,617.0,530.0,711.0,788.0,555.0,429.0,492.0,760.0,550.0,701.0,3243.0,553.0,1598.0,602.0,350.0,277.0,1199.0,1691.0,597.0,708.0,516.0
Female,9 ,,623.0,1291.0,514.0,544.0,2108.0,501.0,,749.0,669.0,664.0,1248.0,232.0,682.0,552.0,588.0,762.0,505.0,1362.0,242.0,244.0,419.0,466.0,364.0,513.0,407.0,304.0,578.0,625.0,3487.0,251.0,671.0,471.0,367.0,576.0,20.0,726.0,424.0,526.0,483.0,245.0,5554.0,441.0,263.0,417.0,409.0,153.0,698.0,496.0,594.0,726.0,722.0,491.0,413.0,529.0,333.0,504.0,1986.0,422.0,983.0,913.0,309.0,457.0,1179.0,1363.0,687.0,541.0,652.0
Female,97,,,40.0,6.0,67.0,48.0,,74.0,24.0,1.0,8.0,3.0,1.0,,1.0,4.0,14.0,7.0,9.0,1.0,21.0,13.0,,67.0,15.0,,,4.0,16.0,33.0,22.0,,,1.0,,,,2.0,5.0,2.0,1.0,19.0,14.0,4.0,,24.0,,3.0,8.0,30.0,,,7.0,17.0,3.0,11.0,14.0,41.0,24.0,12.0,,,4.0,4.0,8.0,10.0,5.0,
Female,98,,8.0,654.0,50.0,78.0,26.0,10.0,104.0,19.0,,9.0,14.0,2.0,2.0,11.0,7.0,141.0,10.0,7.0,1.0,27.0,51.0,20.0,7.0,9.0,4.0,5.0,25.0,37.0,100.0,11.0,27.0,,3.0,15.0,6.0,13.0,48.0,11.0,,4.0,102.0,25.0,32.0,16.0,48.0,3.0,14.0,,5.0,48.0,,7.0,4.0,3.0,10.0,16.0,5.0,46.0,161.0,15.0,39.0,11.0,49.0,67.0,1.0,3.0,2.0
Female,99,2416.0,560.0,547.0,64.0,223.0,1761.0,417.0,398.0,236.0,30.0,33.0,589.0,41.0,197.0,39.0,73.0,180.0,110.0,126.0,21.0,111.0,66.0,220.0,39.0,210.0,30.0,1450.0,127.0,95.0,938.0,122.0,712.0,375.0,70.0,89.0,2.0,72.0,135.0,69.0,575.0,35.0,2578.0,271.0,151.0,120.0,93.0,98.0,372.0,171.0,187.0,1565.0,11.0,307.0,341.0,83.0,118.0,86.0,838.0,77.0,109.0,502.0,833.0,331.0,1006.0,328.0,60.0,317.0,64.0
Male,1 ,,15.0,117.0,46.0,67.0,59.0,47.0,201.0,19.0,20.0,36.0,7.0,3.0,13.0,33.0,42.0,55.0,27.0,65.0,2.0,51.0,64.0,67.0,68.0,23.0,69.0,7.0,19.0,53.0,181.0,183.0,50.0,7.0,92.0,17.0,3.0,15.0,62.0,33.0,20.0,6.0,44.0,68.0,26.0,25.0,53.0,8.0,5.0,51.0,39.0,42.0,26.0,30.0,36.0,51.0,61.0,71.0,225.0,64.0,99.0,8.0,29.0,11.0,72.0,72.0,8.0,19.0,1.0
Male,10,,447.0,675.0,218.0,231.0,1748.0,490.0,898.0,620.0,763.0,934.0,861.0,138.0,416.0,310.0,230.0,354.0,134.0,483.0,224.0,82.0,151.0,216.0,352.0,228.0,244.0,382.0,305.0,364.0,1905.0,332.0,654.0,1247.0,579.0,181.0,16.0,269.0,210.0,600.0,397.0,155.0,3204.0,390.0,116.0,197.0,187.0,188.0,591.0,258.0,364.0,476.0,613.0,509.0,244.0,373.0,233.0,283.0,1043.0,181.0,371.0,844.0,198.0,891.0,762.0,655.0,612.0,313.0,843.0
Male,2 ,,16.0,79.0,36.0,45.0,38.0,27.0,198.0,18.0,15.0,14.0,12.0,4.0,10.0,40.0,17.0,53.0,38.0,61.0,4.0,76.0,58.0,34.0,39.0,25.0,32.0,5.0,11.0,37.0,103.0,118.0,20.0,6.0,42.0,13.0,1.0,18.0,44.0,16.0,12.0,6.0,29.0,34.0,25.0,17.0,53.0,2.0,9.0,39.0,20.0,34.0,18.0,17.0,36.0,42.0,43.0,66.0,135.0,49.0,90.0,4.0,15.0,4.0,33.0,58.0,5.0,22.0,3.0
Male,3 ,,25.0,125.0,75.0,74.0,69.0,35.0,259.0,28.0,23.0,24.0,17.0,8.0,19.0,46.0,52.0,82.0,74.0,78.0,12.0,88.0,81.0,46.0,53.0,40.0,49.0,4.0,21.0,52.0,147.0,178.0,52.0,18.0,75.0,21.0,3.0,20.0,89.0,44.0,20.0,6.0,52.0,69.0,39.0,36.0,93.0,11.0,13.0,70.0,53.0,71.0,36.0,29.0,60.0,64.0,69.0,87.0,270.0,90.0,142.0,8.0,22.0,16.0,94.0,105.0,13.0,29.0,5.0
Male,4 ,,49.0,186.0,84.0,141.0,119.0,67.0,383.0,63.0,20.0,43.0,51.0,10.0,32.0,95.0,69.0,126.0,100.0,90.0,9.0,133.0,135.0,90.0,90.0,70.0,55.0,7.0,45.0,75.0,249.0,219.0,49.0,27.0,73.0,62.0,4.0,47.0,124.0,41.0,47.0,13.0,80.0,75.0,58.0,74.0,103.0,21.0,37.0,78.0,85.0,89.0,46.0,61.0,82.0,75.0,98.0,138.0,408.0,118.0,222.0,10.0,45.0,31.0,138.0,179.0,27.0,56.0,11.0
Male,5 ,,93.0,362.0,163.0,294.0,301.0,164.0,626.0,157.0,81.0,138.0,113.0,29.0,106.0,213.0,187.0,229.0,244.0,179.0,23.0,258.0,227.0,185.0,201.0,155.0,96.0,34.0,122.0,143.0,502.0,432.0,171.0,111.0,203.0,117.0,9.0,120.0,241.0,169.0,170.0,23.0,231.0,186.0,104.0,120.0,168.0,70.0,139.0,182.0,232.0,206.0,152.0,203.0,205.0,174.0,264.0,257.0,1030.0,196.0,457.0,90.0,118.0,57.0,293.0,326.0,58.0,138.0,55.0
Male,6 ,,161.0,598.0,254.0,464.0,434.0,201.0,3040.0,247.0,112.0,126.0,217.0,43.0,129.0,232.0,239.0,322.0,284.0,286.0,30.0,322.0,300.0,247.0,259.0,204.0,141.0,77.0,204.0,197.0,1355.0,392.0,175.0,97.0,189.0,236.0,19.0,149.0,306.0,198.0,184.0,46.0,352.0,189.0,299.0,199.0,276.0,68.0,178.0,234.0,264.0,287.0,162.0,160.0,190.0,235.0,294.0,336.0,1516.0,252.0,637.0,92.0,140.0,90.0,379.0,582.0,93.0,270.0,64.0
Male,7 ,,396.0,1209.0,441.0,1031.0,1070.0,336.0,2566.0,507.0,261.0,313.0,499.0,136.0,286.0,482.0,500.0,714.0,476.0,759.0,123.0,461.0,485.0,433.0,454.0,406.0,278.0,190.0,455.0,309.0,2792.0,542.0,281.0,208.0,400.0,415.0,24.0,384.0,517.0,373.0,274.0,116.0,1054.0,297.0,565.0,398.0,440.0,148.0,384.0,392.0,479.0,435.0,348.0,377.0,321.0,533.0,395.0,542.0,2642.0,439.0,1132.0,232.0,223.0,186.0,732.0,1172.0,315.0,428.0,196.0
Male,8 ,,599.0,1627.0,583.0,1104.0,1760.0,467.0,1745.0,732.0,578.0,651.0,959.0,222.0,504.0,594.0,681.0,855.0,549.0,1176.0,223.0,389.0,554.0,622.0,521.0,529.0,402.0,336.0,655.0,442.0,4268.0,510.0,426.0,339.0,500.0,573.0,45.0,607.0,579.0,664.0,390.0,231.0,3679.0,361.0,578.0,535.0,510.0,151.0,640.0,446.0,678.0,589.0,534.0,486.0,389.0,674.0,512.0,688.0,2919.0,472.0,1420.0,467.0,282.0,341.0,965.0,1636.0,570.0,558.0,465.0
Male,9 ,,464.0,1074.0,366.0,511.0,1518.0,371.0,,664.0,621.0,577.0,993.0,214.0,451.0,389.0,505.0,559.0,304.0,1082.0,245.0,155.0,362.0,351.0,322.0,351.0,327.0,285.0,436.0,383.0,3043.0,230.0,385.0,432.0,404.0,351.0,26.0,551.0,323.0,432.0,370.0,187.0,4941.0,307.0,250.0,350.0,300.0,110.0,537.0,280.0,431.0,643.0,560.0,370.0,287.0,431.0,298.0,482.0,1660.0,270.0,806.0,591.0,235.0,503.0,833.0,1143.0,697.0,349.0,560.0
Male,97,,,48.0,10.0,61.0,52.0,1.0,90.0,35.0,1.0,3.0,8.0,,1.0,1.0,7.0,17.0,12.0,34.0,,31.0,15.0,,85.0,19.0,,,3.0,14.0,48.0,22.0,,,,,,,3.0,4.0,1.0,,13.0,15.0,6.0,,29.0,,1.0,3.0,34.0,,,9.0,22.0,7.0,18.0,16.0,40.0,28.0,13.0,,,5.0,17.0,7.0,15.0,7.0,
Male,98,,14.0,631.0,40.0,67.0,41.0,54.0,78.0,18.0,8.0,9.0,16.0,,10.0,26.0,9.0,157.0,11.0,15.0,8.0,38.0,35.0,40.0,10.0,15.0,13.0,5.0,16.0,47.0,162.0,6.0,240.0,,3.0,30.0,4.0,24.0,50.0,17.0,,2.0,88.0,63.0,46.0,14.0,59.0,6.0,14.0,,11.0,147.0,,11.0,13.0,3.0,18.0,70.0,11.0,47.0,139.0,18.0,48.0,18.0,185.0,45.0,9.0,11.0,10.0
Male,99,2327.0,516.0,675.0,82.0,220.0,1820.0,444.0,517.0,236.0,37.0,67.0,513.0,45.0,165.0,67.0,109.0,181.0,117.0,151.0,41.0,154.0,72.0,218.0,55.0,216.0,63.0,1430.0,179.0,114.0,1075.0,166.0,920.0,385.0,131.0,102.0,1.0,131.0,129.0,140.0,567.0,40.0,2486.0,317.0,203.0,195.0,124.0,116.0,369.0,186.0,179.0,2642.0,7.0,355.0,431.0,132.0,144.0,176.0,724.0,152.0,122.0,506.0,662.0,325.0,1205.0,371.0,103.0,289.0,98.0
